dependent_feature,independent_feature,beta,t_statistic,p,n,q
sleep_awakeDuration,bacteria_firmicutes_clostridia_clostridiales_mogibacteriaceae_unclassified,-0.0775300650267743,-1.9465612634249054,0.05167822022585399,3083.0,0.12402772854204958
sleep_awakeDuration,bacteria_bacteroidetes_bacteroidia_bacteroidales_barnesiellaceae_unclassified,-0.03890972078125391,-2.106249706670555,0.035282385676846315,2498.0,0.0891437869884189
sleep_awakeDuration,bacteria_firmicutes_erysipelotrichi_erysipelotrichales_erysipelotrichaceae_eubacterium,0.021694268800893046,1.071575966395362,0.28399565132370885,3043.0,0.4585238879553699
sleep_awakeDuration,bacteria_firmicutes_clostridia_clostridiales_lachnospiraceae_anaerostipes,0.014931374389743245,0.49714136476636905,0.6191263645258642,2959.0,0.7787311780438633
sleep_awakeDuration,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_eggerthella,-0.023811727689748017,-0.8456179672882885,0.39784189956968385,2667.0,0.5888060113631322
sleep_awakeDuration,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_collinsella,-0.06134091034784263,-2.5850635960364237,0.00978538366031579,2853.0,0.034757682761441686
sleep_awakeDuration,bacteria_firmicutes_clostridia_clostridiales_veillonellaceae_phascolarctobacterium,0.0133091540932803,0.7262707785809396,0.46773766472250433,2625.0,0.652297984901474
sleep_awakeDuration,bacteria_firmicutes_clostridia_clostridiales_ruminococcaceae_faecalibacterium,-0.0759598135623532,-2.3341823629583236,0.01964825792946253,3179.0,0.05975223644302303
sleep_awakeDuration,bacteria_bacteroidetes_bacteroidia_bacteroidales_porphyromonadaceae_parabacteroides,-0.033833642208518734,-1.3503648656223355,0.17699626064507346,3146.0,0.3168804021226315
sleep_awakeDuration,bacteria_firmicutes_erysipelotrichi_erysipelotrichales_erysipelotrichaceae_coprobacillus,0.06770288965371553,2.1212934424821035,0.03399289120363086,2567.0,0.0891437869884189
sleep_awakeDuration,bacteria_firmicutes_erysipelotrichi_erysipelotrichales_erysipelotrichaceae_holdemania,-0.015065444238760876,-0.37224737671155517,0.7097355410650457,2941.0,0.8347109331688922
sleep_awakeDuration,bacteria_actinobacteria_coriobacteriia_coriobacteriales_coriobacteriaceae_adlercreutzia,-0.06960826731809323,-1.937887024204436,0.05273947558593955,2749.0,0.12455493170296361
