dependent_feature,independent_feature,beta,t_statistic,p,n,CHEMICAL_ID,SUB_PATHWAY,SUPER_PATHWAY,BIOCHEMICAL_NAME,CAS,KEGG,HMDB,PUBCHEM,q
sleep_minutesAsleep,metabolite_62,0.018714199381551666,0.7321497848385081,0.46416508897819697,1956.0,62,"Fatty Acid, Dihydroxy",Lipid,"12,13-DiHOME",263399-35-5,C14829,HMDB04705,10236635.0,0.722430796228804
sleep_restlessDuration,metabolite_62,0.06764041803905495,2.0094147319594646,0.0446389497640767,1845.0,62,"Fatty Acid, Dihydroxy",Lipid,"12,13-DiHOME",263399-35-5,C14829,HMDB04705,10236635.0,0.20955830724754546
sleep_awakeDuration,metabolite_93,0.025092953625620952,0.44945607805153637,0.6531501999174341,2055.0,93,TCA Cycle,Energy,alpha-ketoglutarate,305-72-6;328-50-7;22202-68-2,C00026,HMDB00208,51.0,0.8454172045774629
sleep_awakeningsCount,metabolite_93,-0.03812272028912575,-0.5889153845899676,0.5559773389315492,2248.0,93,TCA Cycle,Energy,alpha-ketoglutarate,305-72-6;328-50-7;22202-68-2,C00026,HMDB00208,51.0,0.7869114359318424
sleep_efficiency,metabolite_93,0.00020418736080076924,0.13735964884920168,0.8907595127037209,2134.0,93,TCA Cycle,Energy,alpha-ketoglutarate,305-72-6;328-50-7;22202-68-2,C00026,HMDB00208,51.0,0.9565512266621283
sleep_minutesAfterWakeup,metabolite_93,0.0066543775523145235,0.10730561155128332,0.9145576800201145,1936.0,93,TCA Cycle,Energy,alpha-ketoglutarate,305-72-6;328-50-7;22202-68-2,C00026,HMDB00208,51.0,0.9696532971408391
sleep_minutesAsleep,metabolite_93,0.08368760025413095,2.148845137840358,0.031755842932807456,2198.0,93,TCA Cycle,Energy,alpha-ketoglutarate,305-72-6;328-50-7;22202-68-2,C00026,HMDB00208,51.0,0.17156398733724412
sleep_restlessDuration,metabolite_93,0.07099157615427654,1.3933847615254351,0.16365386149381558,2064.0,93,TCA Cycle,Energy,alpha-ketoglutarate,305-72-6;328-50-7;22202-68-2,C00026,HMDB00208,51.0,0.4389419809861207
sleep_awakeDuration,metabolite_98,0.00850645413161952,0.15649520557651442,0.8756580626731852,2061.0,98,Tryptophan Metabolism,Amino Acid,kynurenate,492-27-3,C01717,HMDB00715,3845.0,0.9499798049193808
sleep_awakeningsCount,metabolite_98,-0.03703491965366107,-0.573984598270526,0.5660355446326029,2257.0,98,Tryptophan Metabolism,Amino Acid,kynurenate,492-27-3,C01717,HMDB00715,3845.0,0.7932438887368822
sleep_efficiency,metabolite_98,-0.0017067021091727516,-1.1473713633277087,0.2513563068476751,2147.0,98,Tryptophan Metabolism,Amino Acid,kynurenate,492-27-3,C01717,HMDB00715,3845.0,0.5380221901334761
sleep_minutesAfterWakeup,metabolite_98,0.03403758625019113,0.5479300924633614,0.5838029417833194,1945.0,98,Tryptophan Metabolism,Amino Acid,kynurenate,492-27-3,C01717,HMDB00715,3845.0,0.8045562258505939
sleep_minutesAsleep,metabolite_98,0.07265696795912126,1.8798626309546345,0.06025884783769774,2205.0,98,Tryptophan Metabolism,Amino Acid,kynurenate,492-27-3,C01717,HMDB00715,3845.0,0.2496961606903267
sleep_restlessDuration,metabolite_98,0.09677015141594676,1.918941838734632,0.05512906339557349,2075.0,98,Tryptophan Metabolism,Amino Acid,kynurenate,492-27-3,C01717,HMDB00715,3845.0,0.2365643633779319
sleep_awakeDuration,metabolite_111,-0.026522975282447035,-0.7198985524691772,0.4716687718256659,2074.0,111,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,3-hydroxyisobutyrate,2068-83-9,C06001,HMDB00336,87.0,0.7283656900165021
sleep_awakeningsCount,metabolite_111,-0.0042108387590253475,-0.0962334410291835,0.9233436967093744,2267.0,111,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,3-hydroxyisobutyrate,2068-83-9,C06001,HMDB00336,87.0,0.9733367475131836
sleep_efficiency,metabolite_111,-0.002205130367680064,-2.1927984720281684,0.02842860499689092,2157.0,111,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,3-hydroxyisobutyrate,2068-83-9,C06001,HMDB00336,87.0,0.16158471586220194
sleep_minutesAfterWakeup,metabolite_111,0.04277212637275008,1.0289202694616626,0.3036451421025222,1949.0,111,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,3-hydroxyisobutyrate,2068-83-9,C06001,HMDB00336,87.0,0.5887354049248759
sleep_minutesAsleep,metabolite_111,-0.03594990213634345,-1.3818403186680444,0.1671605234192558,2213.0,111,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,3-hydroxyisobutyrate,2068-83-9,C06001,HMDB00336,87.0,0.4432959013389704
sleep_restlessDuration,metabolite_111,-0.03206252493865783,-0.9471805070408099,0.3436569363856411,2083.0,111,"Leucine, Isoleucine and Valine Metabolism",Amino Acid,3-hydroxyisobutyrate,2068-83-9,C06001,HMDB00336,87.0,0.6270427502346411
sleep_awakeDuration,metabolite_112,0.10041343573047251,1.794795442077206,0.07283221331696335,2074.0,112,Mevalonate Metabolism,Lipid,3-hydroxy-3-methylglutarate,503-49-1,C03761,HMDB00355,1662.0,0.28132671891588634
sleep_awakeningsCount,metabolite_112,-0.06066711376249016,-0.9278851942971349,0.3535662967767633,2263.0,112,Mevalonate Metabolism,Lipid,3-hydroxy-3-methylglutarate,503-49-1,C03761,HMDB00355,1662.0,0.6361992937602741
sleep_efficiency,metabolite_112,-0.0008463391892536143,-0.5566713950627634,0.5778099813734459,2152.0,112,Mevalonate Metabolism,Lipid,3-hydroxy-3-methylglutarate,503-49-1,C03761,HMDB00355,1662.0,0.8003870158008133
